Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:05:31:046115296,00:05:31:046308705,193409
00:05:31:046309231,00:05:31:046505316,196085
00:05:31:046505636,00:05:31:046717468,211832
00:05:31:046717994,00:05:31:046930418,212424
00:05:31:046930969,00:05:31:047141899,210930
00:05:31:047142429,00:05:31:047361915,219486
00:05:31:047362358,00:05:31:047542954,180596
00:05:31:047543416,00:05:31:047711293,167877
00:05:31:047711588,00:05:31:047891050,179462
00:05:31:047891278,00:05:31:048060212,168934
00:05:31:048060440,00:05:31:048238458,178018
00:05:31:048238687,00:05:31:048406498,167811
00:05:31:048406695,00:05:31:048575974,169279
00:05:31:048576174,00:05:31:048744598,168424
00:05:31:048744813,00:05:31:048918170,173357
00:05:31:048918381,00:05:31:049099587,181206
00:05:31:049099789,00:05:31:049280755,180966
00:05:31:049280900,00:05:31:049437063,156163
00:05:31:049437258,00:05:31:049616846,179588
00:05:31:049617053,00:05:31:049773778,156725
00:05:31:049774052,00:05:31:049944046,169994
00:05:31:049944317,00:05:31:050115721,171404
00:05:31:050116139,00:05:31:050299145,183006
00:05:31:050299398,00:05:31:050463248,163850
00:05:31:050463418,00:05:31:050634526,171108
00:05:31:050634696,00:05:31:050814208,179512
00:05:31:050814332,00:05:31:050971007,156675
00:05:31:050971118,00:05:31:051121667,150549
00:05:31:051121825,00:05:31:051296138,174313
00:05:31:051296309,00:05:31:051478038,181729
00:05:31:051478202,00:05:31:051656726,178524
00:05:31:051656888,00:05:31:051816914,160026
00:05:31:051817066,00:05:31:051980219,163153
00:05:31:051980366,00:05:31:052139388,159022
00:05:31:052139538,00:05:31:052293717,154179
00:05:31:052293868,00:05:31:052453962,160094
00:05:31:052454114,00:05:31:052620905,166791
00:05:31:052621056,00:05:31:052804384,183328
00:05:31:052804573,00:05:31:052981750,177177
00:05:31:052981900,00:05:31:053153974,172074
00:05:31:053154138,00:05:31:053319627,165489
00:05:31:053319773,00:05:31:053475817,156044
00:05:31:053475962,00:05:31:053665226,189264
00:05:31:053665370,00:05:31:053843911,178541
00:05:31:053844084,00:05:31:054021415,177331
00:05:31:054021572,00:05:31:054194568,172996
00:05:31:054194725,00:05:31:054351187,156462
00:05:31:054351349,00:05:31:054502392,151043
00:05:31:054502562,00:05:31:054663297,160735
00:05:31:054663471,00:05:31:054831675,168204
00:05:31:054831874,00:05:31:055009032,177158
00:05:31:055009190,00:05:31:055182408,173218
00:05:31:055182565,00:05:31:055347271,164706
00:05:31:055347426,00:05:31:055521061,173635
00:05:31:055521217,00:05:31:055696104,174887
00:05:31:055696365,00:05:31:055871715,175350
00:05:31:055871931,00:05:31:056035606,163675
00:05:31:056035756,00:05:31:056209263,173507
00:05:31:056209411,00:05:31:056379044,169633
00:05:31:056379198,00:05:31:056542929,163731
00:05:31:056543080,00:05:31:056717061,173981
00:05:31:056717230,00:05:31:056887094,169864
00:05:31:056887265,00:05:31:057061470,174205
00:05:31:057061725,00:05:31:057240835,179110
00:05:31:057241278,00:05:31:057406579,165301
00:05:31:057406797,00:05:31:057574966,168169
00:05:31:057575112,00:05:31:057732534,157422
00:05:31:057732699,00:05:31:057912281,179582
00:05:31:057912455,00:05:31:058081498,169043
00:05:31:058081673,00:05:31:058250814,169141
00:05:31:058250978,00:05:31:058407347,156369
00:05:31:058407513,00:05:31:058575512,167999
00:05:31:058575685,00:05:31:058759019,183334
00:05:31:058759208,00:05:31:058940133,180925
00:05:31:058940315,00:05:31:059122097,181782
00:05:31:059122264,00:05:31:059303265,181001
00:05:31:059303417,00:05:31:059472814,169397
00:05:31:059473050,00:05:31:059655794,182744
00:05:31:059655967,00:05:31:059836992,181025
00:05:31:059837158,00:05:31:060001100,163942
00:05:31:060001270,00:05:31:060174831,173561
00:05:31:060174994,00:05:31:060343460,168466
00:05:31:060343618,00:05:31:060499660,156042
00:05:31:060499816,00:05:31:060656380,156564
00:05:31:060656538,00:05:31:060806290,149752
00:05:31:060806441,00:05:31:060967096,160655
00:05:31:060967244,00:05:31:061132227,164983
00:05:31:061132379,00:05:31:061288147,155768
00:05:31:061288295,00:05:31:061457636,169341
00:05:31:061457784,00:05:31:061632121,174337
00:05:31:061632307,00:05:31:061812758,180451
00:05:31:061812922,00:05:31:061964082,151160
00:05:31:061964255,00:05:31:062132446,168191
00:05:31:062132598,00:05:31:062302975,170377
00:05:31:062303137,00:05:31:062475730,172593
00:05:31:062475891,00:05:31:062641233,165342
00:05:31:062641401,00:05:31:062813713,172312
00:05:31:062813875,00:05:31:062969297,155422
00:05:31:062969509,00:05:31:063134937,165428
00:05:31:063135091,00:05:31:063304945,169854
00:05:31:063305105,00:05:31:063463265,158160
00:05:31:063463410,00:05:31:063619418,156008
00:05:31:063619572,00:05:31:063787881,168309
00:05:31:063788003,00:05:31:063959202,171199
00:05:31:063959561,00:05:31:064126073,166512
00:05:31:064126266,00:05:31:064295409,169143
00:05:31:064295560,00:05:31:064447886,152326
00:05:31:064448032,00:05:31:064616564,168532
00:05:31:064616716,00:05:31:064789369,172653
00:05:31:064789545,00:05:31:064955003,165458
00:05:31:064955176,00:05:31:065114584,159408
00:05:31:065114743,00:05:31:065280080,165337
00:05:31:065280198,00:05:31:065449986,169788
00:05:31:065450145,00:05:31:065604898,154753
00:05:31:065605053,00:05:31:065777535,172482
00:05:31:065777689,00:05:31:065946159,168470
00:05:31:065946310,00:05:31:066102234,155924
00:05:31:066102398,00:05:31:066267962,165564
00:05:31:066268120,00:05:31:066435899,167779
00:05:31:066436064,00:05:31:066592842,156778
00:05:31:066593010,00:05:31:066766561,173551
00:05:31:066766729,00:05:31:066934569,167840
00:05:31:066934724,00:05:31:067090050,155326
00:05:31:067090195,00:05:31:067245986,155791
00:05:31:067246139,00:05:31:067414751,168612
00:05:31:067414896,00:05:31:067567449,152553
00:05:31:067567596,00:05:31:067725392,157796
00:05:31:067725567,00:05:31:067878704,153137
00:05:31:067878874,00:05:31:068052496,173622
00:05:31:068052664,00:05:31:068207161,154497
00:05:31:068207313,00:05:31:068361964,154651
00:05:31:068362120,00:05:31:068531512,169392
00:05:31:068531674,00:05:31:068702927,171253
00:05:31:068703087,00:05:31:068883743,180656
00:05:31:068883893,00:05:31:069035515,151622
00:05:31:069035664,00:05:31:069196095,160431
00:05:31:069196258,00:05:31:069349467,153209
00:05:31:069349633,00:05:31:069520135,170502
00:05:31:069520296,00:05:31:069691981,171685
00:05:31:069692165,00:05:31:069859459,167294
00:05:31:069859639,00:05:31:070011515,151876
00:05:31:070011666,00:05:31:070180378,168712
00:05:31:070180528,00:05:31:070353009,172481
00:05:31:070353157,00:05:31:070504852,151695
00:05:31:070505018,00:05:31:070682502,177484
00:05:31:070682678,00:05:31:070847787,165109
00:05:31:070847963,00:05:31:071016577,168614
00:05:31:071016747,00:05:31:071172222,155475
00:05:31:071172367,00:05:31:071336913,164546
00:05:31:071337060,00:05:31:071496889,159829
00:05:31:071497041,00:05:31:071667780,170739
00:05:31:071668059,00:05:31:071835304,167245
00:05:31:071835505,00:05:31:071991153,155648
00:05:31:071991379,00:05:31:072179397,188018
00:05:31:072179616,00:05:31:072355339,175723
00:05:31:072355524,00:05:31:072510991,155467
00:05:31:072511139,00:05:31:072680591,169452
