Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:06:35:696728843,00:06:35:696896633,167790
00:06:35:696896808,00:06:35:697065605,168797
00:06:35:697065778,00:06:35:697221852,156074
00:06:35:697222022,00:06:35:697376905,154883
00:06:35:697377058,00:06:35:697546431,169373
00:06:35:697546604,00:06:35:697703161,156557
00:06:35:697703334,00:06:35:697858201,154867
00:06:35:697858359,00:06:35:698014473,156114
00:06:35:698014636,00:06:35:698170082,155446
00:06:35:698170240,00:06:35:698338989,168749
00:06:35:698339151,00:06:35:698495592,156441
00:06:35:698495744,00:06:35:698664946,169202
00:06:35:698665118,00:06:35:698859921,194803
00:06:35:698860090,00:06:35:699015620,155530
00:06:35:699015781,00:06:35:699184998,169217
00:06:35:699185160,00:06:35:699353420,168260
00:06:35:699353582,00:06:35:699509992,156410
00:06:35:699510150,00:06:35:699665894,155744
00:06:35:699666058,00:06:35:699821866,155808
00:06:35:699822032,00:06:35:699977074,155042
00:06:35:699977230,00:06:35:700133057,155827
00:06:35:700133214,00:06:35:700302038,168824
00:06:35:700302192,00:06:35:700471379,169187
00:06:35:700471531,00:06:35:700628113,156582
00:06:35:700628305,00:06:35:700808825,180520
00:06:35:700808994,00:06:35:700965742,156748
00:06:35:700965907,00:06:35:701121811,155904
00:06:35:701121979,00:06:35:701291701,169722
00:06:35:701291908,00:06:35:701459482,167574
00:06:35:701459673,00:06:35:701615534,155861
00:06:35:701615697,00:06:35:701786156,170459
00:06:35:701786284,00:06:35:701953538,167254
00:06:35:701953699,00:06:35:702122033,168334
00:06:35:702122191,00:06:35:702278322,156131
00:06:35:702278493,00:06:35:702434570,156077
00:06:35:702434697,00:06:35:702590222,155525
00:06:35:702590330,00:06:35:702762199,171869
00:06:35:702762385,00:06:35:702941897,179512
00:06:35:702942083,00:06:35:703097222,155139
00:06:35:703097392,00:06:35:703252896,155504
00:06:35:703253050,00:06:35:703421894,168844
00:06:35:703422244,00:06:35:703577961,155717
00:06:35:703578115,00:06:35:703734915,156800
00:06:35:703735078,00:06:35:703903363,168285
00:06:35:703903525,00:06:35:704059623,156098
00:06:35:704059789,00:06:35:704241354,181565
00:06:35:704241510,00:06:35:704410314,168804
00:06:35:704410479,00:06:35:704566354,155875
00:06:35:704566516,00:06:35:704722238,155722
00:06:35:704722404,00:06:35:704891023,168619
00:06:35:704891182,00:06:35:705047712,156530
00:06:35:705047876,00:06:35:705203216,155340
00:06:35:705203383,00:06:35:705359374,155991
00:06:35:705359530,00:06:35:705528371,168841
00:06:35:705528529,00:06:35:705684811,156282
00:06:35:705685003,00:06:35:705840130,155127
00:06:35:705840288,00:06:35:705995946,155658
00:06:35:705996101,00:06:35:706152323,156222
00:06:35:706152487,00:06:35:706308179,155692
00:06:35:706308339,00:06:35:706463871,155532
00:06:35:706464029,00:06:35:706619812,155783
00:06:35:706619972,00:06:35:706776336,156364
00:06:35:706776502,00:06:35:706932328,155826
00:06:35:706932491,00:06:35:707101192,168701
00:06:35:707101348,00:06:35:707256826,155478
00:06:35:707256987,00:06:35:707412902,155915
00:06:35:707413065,00:06:35:707581966,168901
00:06:35:707582132,00:06:35:707738720,156588
00:06:35:707738889,00:06:35:707894233,155344
00:06:35:707894395,00:06:35:708050372,155977
00:06:35:708050534,00:06:35:708232499,181965
00:06:35:708232657,00:06:35:708401166,168509
00:06:35:708401329,00:06:35:708557229,155900
00:06:35:708557399,00:06:35:708715948,158549
00:06:35:708716109,00:06:35:708882245,166136
00:06:35:708882425,00:06:35:709051735,169310
00:06:35:709051906,00:06:35:709207319,155413
00:06:35:709207489,00:06:35:709363150,155661
00:06:35:709363320,00:06:35:709519476,156156
00:06:35:709519643,00:06:35:709703960,184317
00:06:35:709704131,00:06:35:709870177,166046
00:06:35:709870336,00:06:35:710025852,155516
00:06:35:710026009,00:06:35:710182464,156455
00:06:35:710182637,00:06:35:710338030,155393
00:06:35:710338189,00:06:35:710494072,155883
00:06:35:710494233,00:06:35:710676549,182316
00:06:35:710676716,00:06:35:710832572,155856
00:06:35:710832687,00:06:35:711001192,168505
00:06:35:711001356,00:06:35:711157203,155847
00:06:35:711157374,00:06:35:711313390,156016
00:06:35:711313558,00:06:35:711469085,155527
00:06:35:711469248,00:06:35:711626870,157622
00:06:35:711627034,00:06:35:711806984,179950
00:06:35:711807145,00:06:35:711976171,169026
00:06:35:711976341,00:06:35:712132305,155964
00:06:35:712132473,00:06:35:712301359,168886
00:06:35:712301529,00:06:35:712457337,155808
00:06:35:712457504,00:06:35:712613201,155697
00:06:35:712613366,00:06:35:712769688,156322
00:06:35:712769858,00:06:35:712923719,153861
00:06:35:712923877,00:06:35:713093764,169887
00:06:35:713093914,00:06:35:713262733,168819
00:06:35:713262887,00:06:35:713420146,157259
00:06:35:713420309,00:06:35:713587680,167371
00:06:35:713587851,00:06:35:713744377,156526
00:06:35:713744546,00:06:35:713913242,168696
00:06:35:713913397,00:06:35:714069009,155612
00:06:35:714069161,00:06:35:714237797,168636
00:06:35:714237957,00:06:35:714393665,155708
00:06:35:714393822,00:06:35:714550274,156452
00:06:35:714550429,00:06:35:714706373,155944
00:06:35:714706538,00:06:35:714861759,155221
00:06:35:714861920,00:06:35:715018124,156204
00:06:35:715018287,00:06:35:715174124,155837
00:06:35:715174285,00:06:35:715330075,155790
00:06:35:715330234,00:06:35:715486190,155956
00:06:35:715486298,00:06:35:715642646,156348
00:06:35:715642806,00:06:35:715797854,155048
00:06:35:715798013,00:06:35:715953898,155885
00:06:35:715954056,00:06:35:716109551,155495
00:06:35:716109716,00:06:35:716278617,168901
00:06:35:716278773,00:06:35:716434490,155717
00:06:35:716434662,00:06:35:716591231,156569
00:06:35:716591387,00:06:35:716747690,156303
00:06:35:716747864,00:06:35:716916146,168282
00:06:35:716916313,00:06:35:717084855,168542
00:06:35:717085013,00:06:35:717254306,169293
00:06:35:717254485,00:06:35:717409919,155434
00:06:35:717410095,00:06:35:717565992,155897
00:06:35:717566163,00:06:35:717722726,156563
00:06:35:717722891,00:06:35:717878048,155157
00:06:35:717878217,00:06:35:718033665,155448
00:06:35:718033823,00:06:35:718189589,155766
00:06:35:718189754,00:06:35:718345856,156102
00:06:35:718346018,00:06:35:718502044,156026
00:06:35:718502204,00:06:35:718658565,156361
00:06:35:718658752,00:06:35:718827027,168275
00:06:35:718827190,00:06:35:718996360,169170
00:06:35:718996529,00:06:35:719152311,155782
00:06:35:719152473,00:06:35:719308603,156130
00:06:35:719308826,00:06:35:719477104,168278
00:06:35:719477309,00:06:35:719633657,156348
00:06:35:719633834,00:06:35:719789679,155845
00:06:35:719789856,00:06:35:719945067,155211
00:06:35:719945181,00:06:35:720113105,167924
00:06:35:720113263,00:06:35:720283107,169844
00:06:35:720283273,00:06:35:720452239,168966
00:06:35:720452408,00:06:35:720607826,155418
00:06:35:720608004,00:06:35:720764857,156853
00:06:35:720765042,00:06:35:720932832,167790
00:06:35:720933017,00:06:35:721089000,155983
00:06:35:721089171,00:06:35:721244966,155795
00:06:35:721245130,00:06:35:721426916,181786
00:06:35:721427084,00:06:35:721582879,155795
00:06:35:721583048,00:06:35:721739428,156380
00:06:35:721739603,00:06:35:721895484,155881
00:06:35:721895650,00:06:35:722050597,154947
00:06:35:722050756,00:06:35:722206640,155884
00:06:35:722206815,00:06:35:722363008,156193
00:06:35:722363182,00:06:35:722518253,155071
00:06:35:722518407,00:06:35:722675425,157018
00:06:35:722675592,00:06:35:722831205,155613
00:06:35:722831380,00:06:35:722987268,155888
00:06:35:722987428,00:06:35:723142958,155530
00:06:35:723143140,00:06:35:723299030,155890
00:06:35:723299207,00:06:35:723454955,155748
00:06:35:723455114,00:06:35:723610948,155834
00:06:35:723611110,00:06:35:723779833,168723
00:06:35:723780009,00:06:35:723936321,156312
00:06:35:723936516,00:06:35:724092012,155496
00:06:35:724092192,00:06:35:724261114,168922
00:06:35:724261236,00:06:35:724417151,155915
00:06:35:724417321,00:06:35:724572847,155526
00:06:35:724572952,00:06:35:724729467,156515
00:06:35:724729649,00:06:35:724898094,168445
00:06:35:724898252,00:06:35:725054090,155838
00:06:35:725054253,00:06:35:725209511,155258
00:06:35:725209677,00:06:35:725365773,156096
00:06:35:725365936,00:06:35:725536578,170642
00:06:35:725536742,00:06:35:725706338,169596
00:06:35:725706513,00:06:35:725873104,166591
00:06:35:725873278,00:06:35:726029281,156003
00:06:35:726029451,00:06:35:726185496,156045
00:06:35:726185666,00:06:35:726340759,155093
00:06:35:726340933,00:06:35:726496801,155868
00:06:35:726496966,00:06:35:726652807,155841
00:06:35:726652977,00:06:35:726808783,155806
00:06:35:726808952,00:06:35:726977532,168580
00:06:35:726977694,00:06:35:727134104,156410
00:06:35:727134280,00:06:35:727290037,155757
00:06:35:727290211,00:06:35:727446557,156346
00:06:35:727446675,00:06:35:727614805,168130
00:06:35:727614965,00:06:35:727771064,156099
00:06:35:727771228,00:06:35:727926434,155206
00:06:35:727926598,00:06:35:728083158,156560
00:06:35:728083324,00:06:35:728251510,168186
00:06:35:728251692,00:06:35:728420668,168976
00:06:35:728420827,00:06:35:728576155,155328
00:06:35:728576322,00:06:35:728733563,157241
00:06:35:728733724,00:06:35:728902046,168322
00:06:35:728902215,00:06:35:729057780,155565
00:06:35:729057944,00:06:35:729214136,156192
00:06:35:729214305,00:06:35:729370138,155833
00:06:35:729370300,00:06:35:729526048,155748
