Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:20:00:088521722,00:20:00:088669389,147667
00:20:00:088669656,00:20:00:088819474,149818
00:20:00:088819870,00:20:00:088963164,143294
00:20:00:088963404,00:20:00:089106985,143581
00:20:00:089107202,00:20:00:089268730,161528
00:20:00:089268944,00:20:00:089402490,133546
00:20:00:089402736,00:20:00:089544697,141961
00:20:00:089544888,00:20:00:089693274,148386
00:20:00:089693509,00:20:00:089834646,141137
00:20:00:089834884,00:20:00:089979204,144320
00:20:00:089979389,00:20:00:090122514,143125
00:20:00:090122968,00:20:00:090274839,151871
00:20:00:090275202,00:20:00:090420288,145086
00:20:00:090420494,00:20:00:090563563,143069
00:20:00:090563773,00:20:00:090709646,145873
00:20:00:090709914,00:20:00:090850904,140990
00:20:00:090851123,00:20:00:090994008,142885
00:20:00:090994221,00:20:00:091140514,146293
00:20:00:091140737,00:20:00:091281512,140775
00:20:00:091281717,00:20:00:091416829,135112
00:20:00:091417019,00:20:00:091560713,143694
00:20:00:091560906,00:20:00:091696606,135700
00:20:00:091696843,00:20:00:091844751,147908
00:20:00:091845357,00:20:00:091996830,151473
00:20:00:091997363,00:20:00:092149811,152448
00:20:00:092150267,00:20:00:092301455,151188
00:20:00:092301921,00:20:00:092452133,150212
00:20:00:092452485,00:20:00:092604975,152490
00:20:00:092605174,00:20:00:092750024,144850
00:20:00:092750260,00:20:00:092892523,142263
00:20:00:092892742,00:20:00:093038641,145899
00:20:00:093038851,00:20:00:093200266,161415
00:20:00:093200608,00:20:00:093355564,154956
00:20:00:093355958,00:20:00:093507619,151661
00:20:00:093507865,00:20:00:093652004,144139
00:20:00:093652250,00:20:00:093797645,145395
00:20:00:093797925,00:20:00:093939782,141857
00:20:00:093940022,00:20:00:094092654,152632
00:20:00:094092898,00:20:00:094234103,141205
00:20:00:094234312,00:20:00:094380249,145937
00:20:00:094380454,00:20:00:094522677,142223
00:20:00:094522867,00:20:00:094669936,147069
00:20:00:094670298,00:20:00:094812964,142666
00:20:00:094813362,00:20:00:094954340,140978
00:20:00:094954581,00:20:00:095097480,142899
00:20:00:095097696,00:20:00:095242036,144340
00:20:00:095242246,00:20:00:095387634,145388
00:20:00:095387874,00:20:00:095531364,143490
00:20:00:095531567,00:20:00:095680897,149330
00:20:00:095681172,00:20:00:095829258,148086
00:20:00:095829484,00:20:00:095973786,144302
00:20:00:095974010,00:20:00:096118345,144335
00:20:00:096118544,00:20:00:096261206,142662
00:20:00:096261445,00:20:00:096414159,152714
00:20:00:096414372,00:20:00:096567064,152692
00:20:00:096567277,00:20:00:096713798,146521
00:20:00:096714217,00:20:00:096855263,141046
00:20:00:096855507,00:20:00:096999662,144155
00:20:00:096999900,00:20:00:097152646,152746
00:20:00:097152852,00:20:00:097298705,145853
00:20:00:097298946,00:20:00:097438185,139239
