2025-04-08 20:03:42.225195881 +02:00,2025-04-08 20:03:42.225418102 +02:00,222221
2025-04-08 20:03:42.225419362 +02:00,2025-04-08 20:03:42.225492745 +02:00,73383
2025-04-08 20:03:42.225493333 +02:00,2025-04-08 20:03:42.225548953 +02:00,55620
2025-04-08 20:03:42.225549516 +02:00,2025-04-08 20:03:42.225601114 +02:00,51598
2025-04-08 20:03:42.225601816 +02:00,2025-04-08 20:03:42.225653988 +02:00,52172
2025-04-08 20:03:42.225654533 +02:00,2025-04-08 20:03:42.225706095 +02:00,51562
2025-04-08 20:03:42.225706641 +02:00,2025-04-08 20:03:42.225759723 +02:00,53082
2025-04-08 20:03:42.225760308 +02:00,2025-04-08 20:03:42.225829960 +02:00,69652
2025-04-08 20:03:42.225830670 +02:00,2025-04-08 20:03:42.225895958 +02:00,65288
2025-04-08 20:03:42.225896524 +02:00,2025-04-08 20:03:42.225948996 +02:00,52472
2025-04-08 20:03:42.225949600 +02:00,2025-04-08 20:03:42.226001614 +02:00,52014
2025-04-08 20:03:42.226002173 +02:00,2025-04-08 20:03:42.226051559 +02:00,49386
2025-04-08 20:03:42.226052135 +02:00,2025-04-08 20:03:42.226112706 +02:00,60571
2025-04-08 20:03:42.226113605 +02:00,2025-04-08 20:03:42.226180753 +02:00,67148
2025-04-08 20:03:42.226181602 +02:00,2025-04-08 20:03:42.226245682 +02:00,64080
2025-04-08 20:03:42.226246527 +02:00,2025-04-08 20:03:42.226308856 +02:00,62329
2025-04-08 20:03:42.226310226 +02:00,2025-04-08 20:03:42.226374971 +02:00,64745
2025-04-08 20:03:42.226375897 +02:00,2025-04-08 20:03:42.226436471 +02:00,60574
2025-04-08 20:03:42.226437276 +02:00,2025-04-08 20:03:42.226496583 +02:00,59307
2025-04-08 20:03:42.226497450 +02:00,2025-04-08 20:03:42.226555390 +02:00,57940
2025-04-08 20:03:42.226556209 +02:00,2025-04-08 20:03:42.226615969 +02:00,59760
2025-04-08 20:03:42.226616710 +02:00,2025-04-08 20:03:42.226675652 +02:00,58942
2025-04-08 20:03:42.226676371 +02:00,2025-04-08 20:03:42.226737170 +02:00,60799
2025-04-08 20:03:42.226737946 +02:00,2025-04-08 20:03:42.226800896 +02:00,62950
2025-04-08 20:03:42.226801579 +02:00,2025-04-08 20:03:42.226893003 +02:00,91424
2025-04-08 20:03:42.226893904 +02:00,2025-04-08 20:03:42.226955852 +02:00,61948
2025-04-08 20:03:42.226956649 +02:00,2025-04-08 20:03:42.227017546 +02:00,60897
2025-04-08 20:03:42.227018356 +02:00,2025-04-08 20:03:42.227078945 +02:00,60589
2025-04-08 20:03:42.227079811 +02:00,2025-04-08 20:03:42.227138415 +02:00,58604
2025-04-08 20:03:42.227139184 +02:00,2025-04-08 20:03:42.227198930 +02:00,59746
2025-04-08 20:03:42.227199718 +02:00,2025-04-08 20:03:42.227259187 +02:00,59469
2025-04-08 20:03:42.227260117 +02:00,2025-04-08 20:03:42.227319462 +02:00,59345
2025-04-08 20:03:42.227320267 +02:00,2025-04-08 20:03:42.227378913 +02:00,58646
2025-04-08 20:03:42.227379751 +02:00,2025-04-08 20:03:42.227438159 +02:00,58408
2025-04-08 20:03:42.227438930 +02:00,2025-04-08 20:03:42.227497059 +02:00,58129
2025-04-08 20:03:42.227497811 +02:00,2025-04-08 20:03:42.227556350 +02:00,58539
2025-04-08 20:03:42.227557103 +02:00,2025-04-08 20:03:42.227615832 +02:00,58729
2025-04-08 20:03:42.227616597 +02:00,2025-04-08 20:03:42.227679379 +02:00,62782
2025-04-08 20:03:42.227680185 +02:00,2025-04-08 20:03:42.227739698 +02:00,59513
2025-04-08 20:03:42.227740543 +02:00,2025-04-08 20:03:42.227800334 +02:00,59791
2025-04-08 20:03:42.227801048 +02:00,2025-04-08 20:03:42.227930112 +02:00,129064
2025-04-08 20:03:42.227932646 +02:00,2025-04-08 20:03:42.228025456 +02:00,92810
2025-04-08 20:03:42.228026757 +02:00,2025-04-08 20:03:42.228094252 +02:00,67495
2025-04-08 20:03:42.228095202 +02:00,2025-04-08 20:03:42.228151197 +02:00,55995
2025-04-08 20:03:42.228152007 +02:00,2025-04-08 20:03:42.228205599 +02:00,53592
2025-04-08 20:03:42.228206110 +02:00,2025-04-08 20:03:42.228258783 +02:00,52673
2025-04-08 20:03:42.228259463 +02:00,2025-04-08 20:03:42.228311293 +02:00,51830
2025-04-08 20:03:42.228311973 +02:00,2025-04-08 20:03:42.228364110 +02:00,52137
2025-04-08 20:03:42.228364760 +02:00,2025-04-08 20:03:42.228417745 +02:00,52985
2025-04-08 20:03:42.228418386 +02:00,2025-04-08 20:03:42.228470344 +02:00,51958
2025-04-08 20:03:42.228471023 +02:00,2025-04-08 20:03:42.228524234 +02:00,53211
2025-04-08 20:03:42.228524957 +02:00,2025-04-08 20:03:42.228575957 +02:00,51000
2025-04-08 20:03:42.228576605 +02:00,2025-04-08 20:03:42.228628834 +02:00,52229
2025-04-08 20:03:42.228629467 +02:00,2025-04-08 20:03:42.228681219 +02:00,51752
2025-04-08 20:03:42.228681861 +02:00,2025-04-08 20:03:42.228732666 +02:00,50805
2025-04-08 20:03:42.228733344 +02:00,2025-04-08 20:03:42.228785033 +02:00,51689
2025-04-08 20:03:42.228785751 +02:00,2025-04-08 20:03:42.228864092 +02:00,78341
2025-04-08 20:03:42.228864857 +02:00,2025-04-08 20:03:42.228942017 +02:00,77160
2025-04-08 20:03:42.228942869 +02:00,2025-04-08 20:03:42.229025785 +02:00,82916
2025-04-08 20:03:42.229026842 +02:00,2025-04-08 20:03:42.229110918 +02:00,84076
2025-04-08 20:03:42.229111862 +02:00,2025-04-08 20:03:42.229179382 +02:00,67520
2025-04-08 20:03:42.229180242 +02:00,2025-04-08 20:03:42.229241661 +02:00,61419
2025-04-08 20:03:42.229242652 +02:00,2025-04-08 20:03:42.229304677 +02:00,62025
2025-04-08 20:03:42.229305512 +02:00,2025-04-08 20:03:42.229365331 +02:00,59819
2025-04-08 20:03:42.229366106 +02:00,2025-04-08 20:03:42.229426133 +02:00,60027
2025-04-08 20:03:42.229427051 +02:00,2025-04-08 20:03:42.229489146 +02:00,62095
2025-04-08 20:03:42.229489988 +02:00,2025-04-08 20:03:42.229551282 +02:00,61294
2025-04-08 20:03:42.229552253 +02:00,2025-04-08 20:03:42.229612181 +02:00,59928
2025-04-08 20:03:42.229613112 +02:00,2025-04-08 20:03:42.229674801 +02:00,61689
2025-04-08 20:03:42.229675759 +02:00,2025-04-08 20:03:42.229737634 +02:00,61875
2025-04-08 20:03:42.229738416 +02:00,2025-04-08 20:03:42.229799459 +02:00,61043
2025-04-08 20:03:42.229800405 +02:00,2025-04-08 20:03:42.229881533 +02:00,81128
2025-04-08 20:03:42.229882320 +02:00,2025-04-08 20:03:42.229937866 +02:00,55546
2025-04-08 20:03:42.229938578 +02:00,2025-04-08 20:03:42.229990629 +02:00,52051
2025-04-08 20:03:42.229991298 +02:00,2025-04-08 20:03:42.230042373 +02:00,51075
2025-04-08 20:03:42.230043022 +02:00,2025-04-08 20:03:42.230095182 +02:00,52160
2025-04-08 20:03:42.230095823 +02:00,2025-04-08 20:03:42.230146901 +02:00,51078
2025-04-08 20:03:42.230147532 +02:00,2025-04-08 20:03:42.230199189 +02:00,51657
2025-04-08 20:03:42.230199847 +02:00,2025-04-08 20:03:42.230253485 +02:00,53638
2025-04-08 20:03:42.230254120 +02:00,2025-04-08 20:03:42.230305623 +02:00,51503
2025-04-08 20:03:42.230306279 +02:00,2025-04-08 20:03:42.230356320 +02:00,50041
2025-04-08 20:03:42.230357020 +02:00,2025-04-08 20:03:42.230407876 +02:00,50856
2025-04-08 20:03:42.230408534 +02:00,2025-04-08 20:03:42.230470451 +02:00,61917
2025-04-08 20:03:42.230470629 +02:00,2025-04-08 20:03:42.230506807 +02:00,36178
2025-04-08 20:03:42.230506983 +02:00,2025-04-08 20:03:42.230522713 +02:00,15730
2025-04-08 20:03:42.230522870 +02:00,2025-04-08 20:03:42.230538519 +02:00,15649
2025-04-08 20:03:42.230538668 +02:00,2025-04-08 20:03:42.230552843 +02:00,14175
2025-04-08 20:03:42.230553003 +02:00,2025-04-08 20:03:42.230567993 +02:00,14990
2025-04-08 20:03:42.230568148 +02:00,2025-04-08 20:03:42.230583239 +02:00,15091
2025-04-08 20:03:42.230583407 +02:00,2025-04-08 20:03:42.230598555 +02:00,15148
2025-04-08 20:03:42.230598706 +02:00,2025-04-08 20:03:42.230614486 +02:00,15780
2025-04-08 20:03:42.230614656 +02:00,2025-04-08 20:03:42.230630767 +02:00,16111
2025-04-08 20:03:42.230630924 +02:00,2025-04-08 20:03:42.230647403 +02:00,16479
2025-04-08 20:03:42.230647552 +02:00,2025-04-08 20:03:42.230662608 +02:00,15056
2025-04-08 20:03:42.230662762 +02:00,2025-04-08 20:03:42.230679487 +02:00,16725
2025-04-08 20:03:42.230679630 +02:00,2025-04-08 20:03:42.230692874 +02:00,13244
2025-04-08 20:03:42.230693035 +02:00,2025-04-08 20:03:42.230704901 +02:00,11866
2025-04-08 20:03:42.230705064 +02:00,2025-04-08 20:03:42.230716858 +02:00,11794
2025-04-08 20:03:42.230717012 +02:00,2025-04-08 20:03:42.230728728 +02:00,11716
2025-04-08 20:03:42.230728880 +02:00,2025-04-08 20:03:42.230741065 +02:00,12185
2025-04-08 20:03:42.230741221 +02:00,2025-04-08 20:03:42.230753403 +02:00,12182
2025-04-08 20:03:42.230753569 +02:00,2025-04-08 20:03:42.230765693 +02:00,12124
2025-04-08 20:03:42.230765833 +02:00,2025-04-08 20:03:42.230777805 +02:00,11972
2025-04-08 20:03:42.230777954 +02:00,2025-04-08 20:03:42.230790211 +02:00,12257
2025-04-08 20:03:42.230790368 +02:00,2025-04-08 20:03:42.230802330 +02:00,11962
2025-04-08 20:03:42.230802482 +02:00,2025-04-08 20:03:42.230819544 +02:00,17062
2025-04-08 20:03:42.230819714 +02:00,2025-04-08 20:03:42.230833031 +02:00,13317
2025-04-08 20:03:42.230833196 +02:00,2025-04-08 20:03:42.230845541 +02:00,12345
2025-04-08 20:03:42.230845690 +02:00,2025-04-08 20:03:42.230871203 +02:00,25513
2025-04-08 20:03:42.230871336 +02:00,2025-04-08 20:03:42.230882697 +02:00,11361
2025-04-08 20:03:42.230882831 +02:00,2025-04-08 20:03:42.230894218 +02:00,11387
2025-04-08 20:03:42.230894353 +02:00,2025-04-08 20:03:42.230905798 +02:00,11445
2025-04-08 20:03:42.230905931 +02:00,2025-04-08 20:03:42.230917541 +02:00,11610
2025-04-08 20:03:42.230917693 +02:00,2025-04-08 20:03:42.230929080 +02:00,11387
2025-04-08 20:03:42.230929229 +02:00,2025-04-08 20:03:42.230940490 +02:00,11261
2025-04-08 20:03:42.230940624 +02:00,2025-04-08 20:03:42.230952306 +02:00,11682
2025-04-08 20:03:42.230952450 +02:00,2025-04-08 20:03:42.230963995 +02:00,11545
2025-04-08 20:03:42.230964129 +02:00,2025-04-08 20:03:42.230975558 +02:00,11429
2025-04-08 20:03:42.230975704 +02:00,2025-04-08 20:03:42.230987148 +02:00,11444
2025-04-08 20:03:42.230987296 +02:00,2025-04-08 20:03:42.230998948 +02:00,11652
2025-04-08 20:03:42.230999098 +02:00,2025-04-08 20:03:42.231010727 +02:00,11629
2025-04-08 20:03:42.231010874 +02:00,2025-04-08 20:03:42.231022464 +02:00,11590
2025-04-08 20:03:42.231022631 +02:00,2025-04-08 20:03:42.231034002 +02:00,11371
2025-04-08 20:03:42.231034151 +02:00,2025-04-08 20:03:42.231045886 +02:00,11735
2025-04-08 20:03:42.231046039 +02:00,2025-04-08 20:03:42.231057654 +02:00,11615
2025-04-08 20:03:42.231057798 +02:00,2025-04-08 20:03:42.231069435 +02:00,11637
2025-04-08 20:03:42.231069577 +02:00,2025-04-08 20:03:42.231081113 +02:00,11536
2025-04-08 20:03:42.231081263 +02:00,2025-04-08 20:03:42.231092919 +02:00,11656
2025-04-08 20:03:42.231093064 +02:00,2025-04-08 20:03:42.231104539 +02:00,11475
2025-04-08 20:03:42.231104677 +02:00,2025-04-08 20:03:42.231116111 +02:00,11434
2025-04-08 20:03:42.231116254 +02:00,2025-04-08 20:03:42.231127551 +02:00,11297
2025-04-08 20:03:42.231127696 +02:00,2025-04-08 20:03:42.231139357 +02:00,11661
2025-04-08 20:03:42.231139495 +02:00,2025-04-08 20:03:42.231151133 +02:00,11638
2025-04-08 20:03:42.231151285 +02:00,2025-04-08 20:03:42.231162591 +02:00,11306
2025-04-08 20:03:42.231162738 +02:00,2025-04-08 20:03:42.231174217 +02:00,11479
2025-04-08 20:03:42.231174359 +02:00,2025-04-08 20:03:42.231185830 +02:00,11471
2025-04-08 20:03:42.231185974 +02:00,2025-04-08 20:03:42.231197365 +02:00,11391
2025-04-08 20:03:42.231197501 +02:00,2025-04-08 20:03:42.231208816 +02:00,11315
2025-04-08 20:03:42.231208962 +02:00,2025-04-08 20:03:42.231220309 +02:00,11347
2025-04-08 20:03:42.231220455 +02:00,2025-04-08 20:03:42.231231916 +02:00,11461
2025-04-08 20:03:42.231232062 +02:00,2025-04-08 20:03:42.231243482 +02:00,11420
2025-04-08 20:03:42.231243630 +02:00,2025-04-08 20:03:42.231255025 +02:00,11395
2025-04-08 20:03:42.231255163 +02:00,2025-04-08 20:03:42.231266579 +02:00,11416
2025-04-08 20:03:42.231266725 +02:00,2025-04-08 20:03:42.231278246 +02:00,11521
2025-04-08 20:03:42.231278393 +02:00,2025-04-08 20:03:42.231289860 +02:00,11467
2025-04-08 20:03:42.231290005 +02:00,2025-04-08 20:03:42.231301955 +02:00,11950
2025-04-08 20:03:42.231302102 +02:00,2025-04-08 20:03:42.231313588 +02:00,11486
2025-04-08 20:03:42.231313741 +02:00,2025-04-08 20:03:42.231325374 +02:00,11633
2025-04-08 20:03:42.231325527 +02:00,2025-04-08 20:03:42.231337143 +02:00,11616
2025-04-08 20:03:42.231337288 +02:00,2025-04-08 20:03:42.231348932 +02:00,11644
2025-04-08 20:03:42.231349066 +02:00,2025-04-08 20:03:42.231360629 +02:00,11563
2025-04-08 20:03:42.231360774 +02:00,2025-04-08 20:03:42.231372284 +02:00,11510
2025-04-08 20:03:42.231372428 +02:00,2025-04-08 20:03:42.231383857 +02:00,11429
2025-04-08 20:03:42.231383992 +02:00,2025-04-08 20:03:42.231395431 +02:00,11439
2025-04-08 20:03:42.231395582 +02:00,2025-04-08 20:03:42.231406879 +02:00,11297
2025-04-08 20:03:42.231407032 +02:00,2025-04-08 20:03:42.231418607 +02:00,11575
2025-04-08 20:03:42.231418740 +02:00,2025-04-08 20:03:42.231430151 +02:00,11411
2025-04-08 20:03:42.231430286 +02:00,2025-04-08 20:03:42.231441655 +02:00,11369
2025-04-08 20:03:42.231441798 +02:00,2025-04-08 20:03:42.231453105 +02:00,11307
2025-04-08 20:03:42.231453250 +02:00,2025-04-08 20:03:42.231464815 +02:00,11565
2025-04-08 20:03:42.231464961 +02:00,2025-04-08 20:03:42.231476518 +02:00,11557
2025-04-08 20:03:42.231476652 +02:00,2025-04-08 20:03:42.231488150 +02:00,11498
2025-04-08 20:03:42.231488294 +02:00,2025-04-08 20:03:42.231499638 +02:00,11344
2025-04-08 20:03:42.231499775 +02:00,2025-04-08 20:03:42.231511232 +02:00,11457
2025-04-08 20:03:42.231511379 +02:00,2025-04-08 20:03:42.231523019 +02:00,11640
2025-04-08 20:03:42.231523169 +02:00,2025-04-08 20:03:42.231534761 +02:00,11592
2025-04-08 20:03:42.231534900 +02:00,2025-04-08 20:03:42.231546352 +02:00,11452
2025-04-08 20:03:42.231546489 +02:00,2025-04-08 20:03:42.231557940 +02:00,11451
2025-04-08 20:03:42.231558087 +02:00,2025-04-08 20:03:42.231569472 +02:00,11385
2025-04-08 20:03:42.231569616 +02:00,2025-04-08 20:03:42.231580949 +02:00,11333
2025-04-08 20:03:42.231581114 +02:00,2025-04-08 20:03:42.231592529 +02:00,11415
2025-04-08 20:03:42.231592680 +02:00,2025-04-08 20:03:42.231604290 +02:00,11610
2025-04-08 20:03:42.231604438 +02:00,2025-04-08 20:03:42.231615940 +02:00,11502
2025-04-08 20:03:42.231616082 +02:00,2025-04-08 20:03:42.231627439 +02:00,11357
2025-04-08 20:03:42.231627585 +02:00,2025-04-08 20:03:42.231639042 +02:00,11457
2025-04-08 20:03:42.231639183 +02:00,2025-04-08 20:03:42.231650657 +02:00,11474
2025-04-08 20:03:42.231650819 +02:00,2025-04-08 20:03:42.231662172 +02:00,11353
2025-04-08 20:03:42.231662319 +02:00,2025-04-08 20:03:42.231673699 +02:00,11380
2025-04-08 20:03:42.231673837 +02:00,2025-04-08 20:03:42.231685156 +02:00,11319
2025-04-08 20:03:42.231685308 +02:00,2025-04-08 20:03:42.231696861 +02:00,11553
2025-04-08 20:03:42.231697024 +02:00,2025-04-08 20:03:42.231708517 +02:00,11493
2025-04-08 20:03:42.231708659 +02:00,2025-04-08 20:03:42.231720102 +02:00,11443
2025-04-08 20:03:42.231720244 +02:00,2025-04-08 20:03:42.231731828 +02:00,11584
2025-04-08 20:03:42.231731965 +02:00,2025-04-08 20:03:42.231743373 +02:00,11408
2025-04-08 20:03:42.231743518 +02:00,2025-04-08 20:03:42.231755076 +02:00,11558
2025-04-08 20:03:42.231755224 +02:00,2025-04-08 20:03:42.231766585 +02:00,11361
2025-04-08 20:03:42.231766729 +02:00,2025-04-08 20:03:42.231798820 +02:00,32091
2025-04-08 20:03:42.231798965 +02:00,2025-04-08 20:03:42.231813991 +02:00,15026
2025-04-08 20:03:42.231814196 +02:00,2025-04-08 20:03:42.231830808 +02:00,16612
2025-04-08 20:03:42.231830997 +02:00,2025-04-08 20:03:42.231844867 +02:00,13870
2025-04-08 20:03:42.231845065 +02:00,2025-04-08 20:03:42.231858905 +02:00,13840
2025-04-08 20:03:42.231859129 +02:00,2025-04-08 20:03:42.231888653 +02:00,29524
2025-04-08 20:03:42.231888845 +02:00,2025-04-08 20:03:42.231921155 +02:00,32310
2025-04-08 20:03:42.231921346 +02:00,2025-04-08 20:03:42.231932202 +02:00,10856
2025-04-08 20:03:42.231932343 +02:00,2025-04-08 20:03:42.231942776 +02:00,10433
2025-04-08 20:03:42.231942938 +02:00,2025-04-08 20:03:42.231953262 +02:00,10324
2025-04-08 20:03:42.231953394 +02:00,2025-04-08 20:03:42.231963598 +02:00,10204
2025-04-08 20:03:42.231963737 +02:00,2025-04-08 20:03:42.231973936 +02:00,10199
2025-04-08 20:03:42.231974073 +02:00,2025-04-08 20:03:42.231997623 +02:00,23550
2025-04-08 20:03:42.231997760 +02:00,2025-04-08 20:03:42.232007708 +02:00,9948
