2025-04-26 23:38:23.649701515 +02:00,2025-04-26 23:38:23.650146692 +02:00,445177
2025-04-26 23:38:23.650148749 +02:00,2025-04-26 23:38:23.650409726 +02:00,260977
2025-04-26 23:38:23.650411321 +02:00,2025-04-26 23:38:23.650680771 +02:00,269450
2025-04-26 23:38:23.650682549 +02:00,2025-04-26 23:38:23.650925728 +02:00,243179
2025-04-26 23:38:23.650927454 +02:00,2025-04-26 23:38:23.651150306 +02:00,222852
2025-04-26 23:38:23.651151915 +02:00,2025-04-26 23:38:23.651365835 +02:00,213920
2025-04-26 23:38:23.651366562 +02:00,2025-04-26 23:38:23.651566987 +02:00,200425
2025-04-26 23:38:23.651568148 +02:00,2025-04-26 23:38:23.651792102 +02:00,223954
2025-04-26 23:38:23.651793795 +02:00,2025-04-26 23:38:23.652032719 +02:00,238924
2025-04-26 23:38:23.652034288 +02:00,2025-04-26 23:38:23.652302869 +02:00,268581
2025-04-26 23:38:23.652305106 +02:00,2025-04-26 23:38:23.652578174 +02:00,273068
2025-04-26 23:38:23.652580399 +02:00,2025-04-26 23:38:23.652814583 +02:00,234184
2025-04-26 23:38:23.652816540 +02:00,2025-04-26 23:38:23.653044325 +02:00,227785
2025-04-26 23:38:23.653045723 +02:00,2025-04-26 23:38:23.653273097 +02:00,227374
2025-04-26 23:38:23.653274686 +02:00,2025-04-26 23:38:23.653504209 +02:00,229523
2025-04-26 23:38:23.653506193 +02:00,2025-04-26 23:38:23.653740894 +02:00,234701
2025-04-26 23:38:23.653742663 +02:00,2025-04-26 23:38:23.654041530 +02:00,298867
2025-04-26 23:38:23.654043704 +02:00,2025-04-26 23:38:23.654312803 +02:00,269099
2025-04-26 23:38:23.654314964 +02:00,2025-04-26 23:38:23.654543575 +02:00,228611
2025-04-26 23:38:23.654544625 +02:00,2025-04-26 23:38:23.654798256 +02:00,253631
2025-04-26 23:38:23.654800554 +02:00,2025-04-26 23:38:23.655051400 +02:00,250846
2025-04-26 23:38:23.655054121 +02:00,2025-04-26 23:38:23.655313036 +02:00,258915
2025-04-26 23:38:23.655315622 +02:00,2025-04-26 23:38:23.655570204 +02:00,254582
2025-04-26 23:38:23.655571976 +02:00,2025-04-26 23:38:23.655816891 +02:00,244915
2025-04-26 23:38:23.655818559 +02:00,2025-04-26 23:38:23.656055863 +02:00,237304
2025-04-26 23:38:23.656057514 +02:00,2025-04-26 23:38:23.656296579 +02:00,239065
2025-04-26 23:38:23.656298286 +02:00,2025-04-26 23:38:23.656587437 +02:00,289151
2025-04-26 23:38:23.656591057 +02:00,2025-04-26 23:38:23.656896093 +02:00,305036
2025-04-26 23:38:23.656896475 +02:00,2025-04-26 23:38:23.657110299 +02:00,213824
2025-04-26 23:38:23.657110783 +02:00,2025-04-26 23:38:23.657288603 +02:00,177820
2025-04-26 23:38:23.657288886 +02:00,2025-04-26 23:38:23.657467631 +02:00,178745
2025-04-26 23:38:23.657467823 +02:00,2025-04-26 23:38:23.657683047 +02:00,215224
2025-04-26 23:38:23.657683326 +02:00,2025-04-26 23:38:23.657887117 +02:00,203791
2025-04-26 23:38:23.657887533 +02:00,2025-04-26 23:38:23.658093153 +02:00,205620
2025-04-26 23:38:23.658093569 +02:00,2025-04-26 23:38:23.658297385 +02:00,203816
2025-04-26 23:38:23.658297764 +02:00,2025-04-26 23:38:23.658515151 +02:00,217387
2025-04-26 23:38:23.658515525 +02:00,2025-04-26 23:38:23.658748420 +02:00,232895
2025-04-26 23:38:23.658748858 +02:00,2025-04-26 23:38:23.658963370 +02:00,214512
