Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
23:59:42:545090913,23:59:42:545498701,407788
23:59:42:545499186,23:59:42:545744934,245748
23:59:42:545745779,23:59:42:545988473,242694
23:59:42:545989018,23:59:42:546169254,180236
23:59:42:546169616,23:59:42:546355743,186127
23:59:42:546356194,23:59:42:546545153,188959
23:59:42:546545499,23:59:42:546778560,233061
23:59:42:546779186,23:59:42:546967790,188604
23:59:42:546968316,23:59:42:547160510,192194
23:59:42:547160972,23:59:42:547355306,194334
23:59:42:547355807,23:59:42:547551870,196063
23:59:42:547552377,23:59:42:547748096,195719
23:59:42:547748644,23:59:42:547940890,192246
23:59:42:547941391,23:59:42:548135587,194196
23:59:42:548136107,23:59:42:548332612,196505
23:59:42:548333159,23:59:42:548531627,198468
23:59:42:548532824,23:59:42:548737398,204574
23:59:42:548737836,23:59:42:548934152,196316
23:59:42:548934877,23:59:42:549125812,190935
23:59:42:549126109,23:59:42:549316134,190025
23:59:42:549316483,23:59:42:549497406,180923
23:59:42:549497712,23:59:42:549713661,215949
23:59:42:549714329,23:59:42:549901868,187539
23:59:42:549902224,23:59:42:550085587,183363
23:59:42:550085879,23:59:42:550266935,181056
23:59:42:550267225,23:59:42:550450431,183206
23:59:42:550450761,23:59:42:550637668,186907
23:59:42:550637987,23:59:42:550823609,185622
23:59:42:550823787,23:59:42:550993037,169250
23:59:42:550993194,23:59:42:551162161,168967
23:59:42:551162327,23:59:42:551344740,182413
23:59:42:551344897,23:59:42:551525302,180405
23:59:42:551525489,23:59:42:551711102,185613
23:59:42:551711292,23:59:42:551894607,183315
23:59:42:551895266,23:59:42:552074543,179277
23:59:42:552074867,23:59:42:552243477,168610
23:59:42:552243821,23:59:42:552427284,183463
23:59:42:552427686,23:59:42:552621857,194171
23:59:42:552622268,23:59:42:552817342,195074
23:59:42:552817783,23:59:42:553012463,194680
23:59:42:553012876,23:59:42:553205865,192989
23:59:42:553206247,23:59:42:553388900,182653
23:59:42:553389251,23:59:42:553568379,179128
23:59:42:553568716,23:59:42:553739151,170435
23:59:42:553739542,23:59:42:553921229,181687
23:59:42:553921590,23:59:42:554102432,180842
23:59:42:554102772,23:59:42:554271040,168268
23:59:42:554271374,23:59:42:554439643,168269
23:59:42:554439974,23:59:42:554609549,169575
23:59:42:554609887,23:59:42:554790802,180915
23:59:42:554791137,23:59:42:555023288,232151
23:59:42:555024018,23:59:42:555210759,186741
23:59:42:555211187,23:59:42:555388099,176912
23:59:42:555388363,23:59:42:555555145,166782
23:59:42:555555347,23:59:42:555728129,172782
23:59:42:555728443,23:59:42:555893366,164923
23:59:42:555893594,23:59:42:556077864,184270
23:59:42:556078058,23:59:42:556258818,180760
23:59:42:556259003,23:59:42:556441819,182816
23:59:42:556442046,23:59:42:556611217,169171
23:59:42:556611441,23:59:42:556779217,167776
23:59:42:556779528,23:59:42:556962259,182731
23:59:42:556962595,23:59:42:557143125,180530
23:59:42:557143401,23:59:42:557311069,167668
23:59:42:557311300,23:59:42:557479496,168196
23:59:42:557479733,23:59:42:557649923,170190
23:59:42:557650344,23:59:42:557818261,167917
23:59:42:557818511,23:59:42:557985741,167230
23:59:42:557985944,23:59:42:558168584,182640
23:59:42:558168844,23:59:42:558338527,169683
23:59:42:558338844,23:59:42:558519580,180736
23:59:42:558519800,23:59:42:558701073,181273
23:59:42:558701270,23:59:42:558880767,179497
23:59:42:558881010,23:59:42:559052736,171726
23:59:42:559052933,23:59:42:559234410,181477
23:59:42:559234581,23:59:42:559415661,181080
23:59:42:559415879,23:59:42:559584388,168509
23:59:42:559584557,23:59:42:559767323,182766
23:59:42:559767532,23:59:42:559937264,169732
23:59:42:559937467,23:59:42:560117711,180244
23:59:42:560117955,23:59:42:560300191,182236
23:59:42:560300459,23:59:42:560478511,178052
23:59:42:560479528,23:59:42:560656013,176485
23:59:42:560656890,23:59:42:560872511,215621
23:59:42:560872948,23:59:42:561059177,186229
23:59:42:561059516,23:59:42:561257218,197702
23:59:42:561257766,23:59:42:561451832,194066
23:59:42:561452194,23:59:42:561648828,196634
23:59:42:561649274,23:59:42:561866801,217527
23:59:42:561867395,23:59:42:562088756,221361
23:59:42:562089340,23:59:42:562313039,223699
23:59:42:562313629,23:59:42:562514104,200475
23:59:42:562514560,23:59:42:562707114,192554
23:59:42:562707433,23:59:42:562886652,179219
23:59:42:562886873,23:59:42:563056477,169604
23:59:42:563056666,23:59:42:563224882,168216
23:59:42:563225055,23:59:42:563405691,180636
23:59:42:563405854,23:59:42:563575262,169408
23:59:42:563575427,23:59:42:563757181,181754
23:59:42:563757434,23:59:42:563938913,181479
23:59:42:563939093,23:59:42:564121622,182529
23:59:42:564121786,23:59:42:564303826,182040
23:59:42:564303996,23:59:42:564486959,182963
23:59:42:564487133,23:59:42:564656463,169330
23:59:42:564656699,23:59:42:564851229,194530
23:59:42:564851390,23:59:42:565031846,180456
23:59:42:565031994,23:59:42:565202194,170200
23:59:42:565202338,23:59:42:565389670,187332
23:59:42:565389812,23:59:42:565551666,161854
23:59:42:565551807,23:59:42:565749061,197254
23:59:42:565749289,23:59:42:565917994,168705
23:59:42:565918155,23:59:42:566097997,179842
23:59:42:566098138,23:59:42:566283632,185494
23:59:42:566283787,23:59:42:566462147,178360
23:59:42:566462315,23:59:42:566644758,182443
23:59:42:566644980,23:59:42:566826352,181372
23:59:42:566826501,23:59:42:567007225,180724
23:59:42:567007372,23:59:42:567176678,169306
23:59:42:567176827,23:59:42:567368368,191541
23:59:42:567368615,23:59:42:567554266,185651
23:59:42:567554493,23:59:42:567725018,170525
23:59:42:567725375,23:59:42:567905519,180144
23:59:42:567905723,23:59:42:568088555,182832
23:59:42:568088734,23:59:42:568269294,180560
23:59:42:568269470,23:59:42:568448378,178908
23:59:42:568448577,23:59:42:568619483,170906
23:59:42:568619719,23:59:42:568804035,184316
23:59:42:568804323,23:59:42:568981726,177403
23:59:42:568981941,23:59:42:569165768,183827
23:59:42:569165965,23:59:42:569335183,169218
23:59:42:569335391,23:59:42:569503817,168426
23:59:42:569503975,23:59:42:569686202,182227
23:59:42:569686394,23:59:42:569867527,181133
23:59:42:569867705,23:59:42:570046132,178427
23:59:42:570046291,23:59:42:570206370,160079
23:59:42:570206543,23:59:42:570386905,180362
23:59:42:570387065,23:59:42:570565397,178332
23:59:42:570565564,23:59:42:570740047,174483
23:59:42:570740265,23:59:42:570905739,165474
23:59:42:570905937,23:59:42:571077419,171482
23:59:42:571077596,23:59:42:571255349,177753
23:59:42:571255485,23:59:42:571428326,172841
23:59:42:571428470,23:59:42:571597535,169065
23:59:42:571597672,23:59:42:571779748,182076
23:59:42:571779973,23:59:42:571960031,180058
23:59:42:571960211,23:59:42:572139916,179705
23:59:42:572140054,23:59:42:572298419,158365
23:59:42:572298563,23:59:42:572463686,165123
23:59:42:572463830,23:59:42:572638185,174355
23:59:42:572638365,23:59:42:572814510,176145
23:59:42:572814688,23:59:42:572988233,173545
23:59:42:572988397,23:59:42:573165597,177200
23:59:42:573165771,23:59:42:573337984,172213
23:59:42:573338143,23:59:42:573516429,178286
23:59:42:573516596,23:59:42:573678695,162099
23:59:42:573678931,23:59:42:573859041,180110
23:59:42:573859207,23:59:42:574027308,168101
23:59:42:574027491,23:59:42:574196892,169401
23:59:42:574197056,23:59:42:574379490,182434
23:59:42:574379701,23:59:42:574549037,169336
23:59:42:574549405,23:59:42:574743775,194370
23:59:42:574744115,23:59:42:574925238,181123
23:59:42:574925393,23:59:42:575107923,182530
23:59:42:575108082,23:59:42:575305303,197221
23:59:42:575305493,23:59:42:575468151,162658
23:59:42:575468334,23:59:42:575641911,173577
23:59:42:575642174,23:59:42:575823346,181172
23:59:42:575823559,23:59:42:576004773,181214
23:59:42:576004976,23:59:42:576186379,181403
23:59:42:576186533,23:59:42:576364200,177667
23:59:42:576364336,23:59:42:576524381,160045
23:59:42:576524520,23:59:42:576693725,169205
23:59:42:576693928,23:59:42:576874122,180194
23:59:42:576874304,23:59:42:577053893,179589
23:59:42:577054058,23:59:42:577226211,172153
23:59:42:577226383,23:59:42:577404172,177789
23:59:42:577404336,23:59:42:577577138,172802
23:59:42:577577317,23:59:42:577758714,181397
23:59:42:577758918,23:59:42:577947275,188357
23:59:42:577947500,23:59:42:578122377,174877
23:59:42:578122602,23:59:42:578303559,180957
23:59:42:578303720,23:59:42:578475307,171587
23:59:42:578475465,23:59:42:578645323,169858
23:59:42:578645583,23:59:42:578825218,179635
23:59:42:578825492,23:59:42:579007529,182037
23:59:42:579007793,23:59:42:579189422,181629
23:59:42:579189579,23:59:42:579371067,181488
23:59:42:579371285,23:59:42:579553170,181885
23:59:42:579553331,23:59:42:579722407,169076
23:59:42:579722619,23:59:42:579904869,182250
23:59:42:579905051,23:59:42:580085820,180769
23:59:42:580085989,23:59:42:580266700,180711
23:59:42:580266869,23:59:42:580449395,182526
23:59:42:580449558,23:59:42:580617716,168158
23:59:42:580618051,23:59:42:580789416,171365
23:59:42:580789646,23:59:42:580969918,180272
23:59:42:580970106,23:59:42:581151791,181685
23:59:42:581151965,23:59:42:581335074,183109
23:59:42:581335330,23:59:42:581517729,182399
23:59:42:581518087,23:59:42:581688223,170136
23:59:42:581688463,23:59:42:581866216,177753
