Start - HH:MM:SS:NANOSECONDS,     End - HH:MM:SS:NANOSECONDS,     Difference in NANOSECONDS
23:47:23:986528242,     23:47:23:986701819,     173577
23:47:23:986702117,     23:47:23:986870935,     168818
23:47:23:986871155,     23:47:23:987056716,     185561
23:47:23:987057729,     23:47:23:987240925,     183196
23:47:23:987241209,     23:47:23:987418460,     177251
23:47:23:987418630,     23:47:23:987589718,     171088
23:47:23:987589826,     23:47:23:987760830,     171004
23:47:23:987760998,     23:47:23:987931092,     170094
23:47:23:987931273,     23:47:23:988102010,     170737
23:47:23:988102158,     23:47:23:988264379,     162221
23:47:23:988264494,     23:47:23:988435080,     170586
23:47:23:988435247,     23:47:23:988606577,     171330
23:47:23:988606699,     23:47:23:988768422,     161723
23:47:23:988768537,     23:47:23:988939451,     170914
23:47:23:988939574,     23:47:23:989110357,     170783
23:47:23:989110515,     23:47:23:989280860,     170345
23:47:23:989280965,     23:47:23:989452016,     171051
23:47:23:989452162,     23:47:23:989624571,     172409
23:47:23:989624735,     23:47:23:989785498,     160763
23:47:23:989785683,     23:47:23:989955908,     170225
23:47:23:989956021,     23:47:23:990129199,     173178
23:47:23:990129351,     23:47:23:990301436,     172085
23:47:23:990301757,     23:47:23:990478219,     176462
23:47:23:990478392,     23:47:23:990655173,     176781
23:47:23:990655575,     23:47:23:990833945,     178370
23:47:23:990834208,     23:47:23:991010912,     176704
23:47:23:991011144,     23:47:23:991179351,     168207
23:47:23:991179544,     23:47:23:991342790,     163246
23:47:23:991342914,     23:47:23:991513855,     170941
23:47:23:991513990,     23:47:23:991686370,     172380
23:47:23:991686620,     23:47:23:991865037,     178417
23:47:23:991865222,     23:47:23:992035836,     170614
23:47:23:992036022,     23:47:23:992206929,     170907
23:47:23:992207133,     23:47:23:992378623,     171490
23:47:23:992378840,     23:47:23:992548812,     169972
23:47:23:992549019,     23:47:23:992722223,     173204
23:47:23:992722525,     23:47:23:992900232,     177707
23:47:23:992900454,     23:47:23:993114084,     213630
23:47:23:993114579,     23:47:23:993334553,     219974
23:47:23:993335017,     23:47:23:993510663,     175646
23:47:23:993510877,     23:47:23:993712306,     201429
23:47:23:993712760,     23:47:23:993919117,     206357
23:47:23:993919556,     23:47:23:994136195,     216639
23:47:23:994136657,     23:47:23:994329591,     192934
23:47:23:994329873,     23:47:23:994504410,     174537
23:47:23:994504738,     23:47:23:994683773,     179035
23:47:23:994684016,     23:47:23:994861854,     177838
23:47:23:994862096,     23:47:23:995033912,     171816
23:47:23:995034079,     23:47:23:995235676,     201597
23:47:23:995236168,     23:47:23:995411709,     175541
23:47:23:995411949,     23:47:23:995581328,     169379
23:47:23:995581497,     23:47:23:995744693,     163196
23:47:23:995744995,     23:47:23:995914772,     169777
23:47:23:995914952,     23:47:23:996091251,     176299
23:47:23:996091679,     23:47:23:996267323,     175644
23:47:23:996267555,     23:47:23:996446524,     178969
23:47:23:996446661,     23:47:23:996617424,     170763
23:47:23:996617629,     23:47:23:996779930,     162301
23:47:23:996780158,     23:47:23:996949929,     169771
23:47:23:996950055,     23:47:23:997120612,     170557
23:47:23:997120818,     23:47:23:997291853,     171035
23:47:23:997292046,     23:47:23:997462868,     170822
23:47:23:997463056,     23:47:23:997658612,     195556
23:47:23:997658796,     23:47:23:997831613,     172817
23:47:23:997831746,     23:47:23:998002916,     171170
23:47:23:998003034,     23:47:23:998173786,     170752
23:47:23:998173906,     23:47:23:998344450,     170544
23:47:23:998344572,     23:47:23:998515190,     170618
23:47:23:998515316,     23:47:23:998687038,     171722
23:47:23:998687229,     23:47:23:998858241,     171012
23:47:23:998858399,     23:47:23:999028657,     170258
23:47:23:999028839,     23:47:23:999190247,     161408
23:47:23:999190428,     23:47:23:999361621,     171193
23:47:23:999361794,     23:47:23:999532625,     170831
23:47:23:999532835,     23:47:23:999705491,     172656
23:47:23:999705741,     23:47:23:999883715,     177974
23:47:23:999883904,     23:47:24:000054450,     170546
23:47:24:000054681,     23:47:24:000226153,     171472
23:47:24:000226355,     23:47:24:000396429,     170074
23:47:24:000396609,     23:47:24:000567427,     170818
23:47:24:000567630,     23:47:24:000738894,     171264
23:47:24:000739095,     23:47:24:000909695,     170600
23:47:24:000909895,     23:47:24:001080484,     170589
23:47:24:001080659,     23:47:24:001251761,     171102
23:47:24:001251949,     23:47:24:001422442,     170493
23:47:24:001422623,     23:47:24:001593755,     171132
23:47:24:001593955,     23:47:24:001764797,     170842
23:47:24:001764997,     23:47:24:001935364,     170367
23:47:24:001935558,     23:47:24:002097615,     162057
23:47:24:002097807,     23:47:24:002259938,     162131
23:47:24:002260125,     23:47:24:002430601,     170476
23:47:24:002430777,     23:47:24:002591572,     160795
23:47:24:002591758,     23:47:24:002765519,     173761
23:47:24:002765768,     23:47:24:002943954,     178186
23:47:24:002944155,     23:47:24:003114514,     170359
23:47:24:003114705,     23:47:24:003276429,     161724
23:47:24:003276614,     23:47:24:003447909,     171295
23:47:24:003448098,     23:47:24:003609695,     161597
23:47:24:003609915,     23:47:24:003781125,     171210
23:47:24:003781329,     23:47:24:003951520,     170191
23:47:24:003951703,     23:47:24:004122529,     170826
23:47:24:004122708,     23:47:24:004293776,     171068
23:47:24:004293984,     23:47:24:004464437,     170453
23:47:24:004464616,     23:47:24:004631305,     166689
23:47:24:004631527,     23:47:24:004806978,     175451
23:47:24:004807176,     23:47:24:004977850,     170674
23:47:24:004978045,     23:47:24:005147535,     169490
23:47:24:005147712,     23:47:24:005318936,     171224
23:47:24:005319054,     23:47:24:005490431,     171377
23:47:24:005490602,     23:47:24:005662744,     172142
23:47:24:005662967,     23:47:24:005832377,     169410
23:47:24:005832567,     23:47:24:006003497,     170930
23:47:24:006003681,     23:47:24:006174565,     170884
23:47:24:006174745,     23:47:24:006345717,     170972
23:47:24:006345907,     23:47:24:006516400,     170493
23:47:24:006516526,     23:47:24:006687464,     170938
23:47:24:006687682,     23:47:24:006858540,     170858
23:47:24:006858726,     23:47:24:007029602,     170876
23:47:24:007029733,     23:47:24:007200238,     170505
23:47:24:007200419,     23:47:24:007370403,     169984
23:47:24:007370541,     23:47:24:007542527,     171986
23:47:24:007542708,     23:47:24:007704012,     161304
23:47:24:007704146,     23:47:24:007875761,     171615
23:47:24:007875961,     23:47:24:008046464,     170503
23:47:24:008046648,     23:47:24:008217385,     170737
23:47:24:008217505,     23:47:24:008388630,     171125
23:47:24:008388829,     23:47:24:008559407,     170578
23:47:24:008559581,     23:47:24:008730807,     171226
23:47:24:008731009,     23:47:24:008901540,     170531
23:47:24:008901722,     23:47:24:009072957,     171235
23:47:24:009073152,     23:47:24:009243373,     170221
23:47:24:009243504,     23:47:24:009413967,     170463
23:47:24:009414093,     23:47:24:009585233,     171140
23:47:24:009585371,     23:47:24:009748189,     162818
23:47:24:009748418,     23:47:24:009918357,     169939
23:47:24:009918548,     23:47:24:010089473,     170925
23:47:24:010089599,     23:47:24:010259624,     170025
23:47:24:010259826,     23:47:24:010431719,     171893
23:47:24:010431912,     23:47:24:010602112,     170200
23:47:24:010602250,     23:47:24:010774464,     172214
23:47:24:010774723,     23:47:24:010944986,     170263
23:47:24:010945140,     23:47:24:011115999,     170859
23:47:24:011116132,     23:47:24:011286692,     170560
23:47:24:011286868,     23:47:24:011448633,     161765
23:47:24:011448821,     23:47:24:011610535,     161714
23:47:24:011610718,     23:47:24:011782040,     171322
23:47:24:011782239,     23:47:24:011952351,     170112
23:47:24:011952527,     23:47:24:012123501,     170974
23:47:24:012123636,     23:47:24:012285715,     162079
23:47:24:012285887,     23:47:24:012456662,     170775
23:47:24:012456859,     23:47:24:012628460,     171601
23:47:24:012628591,     23:47:24:012798495,     169904
23:47:24:012798685,     23:47:24:012969260,     170575
23:47:24:012969441,     23:47:24:013140654,     171213
23:47:24:013140798,     23:47:24:013311364,     170566
23:47:24:013311552,     23:47:24:013473469,     161917
23:47:24:013473656,     23:47:24:013635563,     161907
23:47:24:013635689,     23:47:24:013797800,     162111
23:47:24:013797989,     23:47:24:013968227,     170238
23:47:24:013968401,     23:47:24:014138369,     169968
23:47:24:014138557,     23:47:24:014310396,     171839
23:47:24:014310581,     23:47:24:014481936,     171355
23:47:24:014482068,     23:47:24:014652637,     170569
23:47:24:014652823,     23:47:24:014823425,     170602
23:47:24:014823613,     23:47:24:014985403,     161790
23:47:24:014985595,     23:47:24:015147738,     162143
23:47:24:015147929,     23:47:24:015318245,     170316
23:47:24:015318429,     23:47:24:015480358,     161929
23:47:24:015480491,     23:47:24:015642661,     162170
23:47:24:015642856,     23:47:24:015813724,     170868
23:47:24:015813919,     23:47:24:015975351,     161432
23:47:24:015975531,     23:47:24:016146403,     170872
23:47:24:016146589,     23:47:24:016335300,     188711
23:47:24:016335494,     23:47:24:016537685,     202191
23:47:24:016538264,     23:47:24:016743026,     204762
23:47:24:016743437,     23:47:24:016949036,     205599
23:47:24:016949470,     23:47:24:017158550,     209080
23:47:24:017158961,     23:47:24:017364914,     205953
23:47:24:017365325,     23:47:24:017540984,     175659
23:47:24:017541194,     23:47:24:017743489,     202295
23:47:24:017743912,     23:47:24:017939070,     195158
23:47:24:017939503,     23:47:24:018107943,     168440
23:47:24:018108162,     23:47:24:018298953,     190791
23:47:24:018299381,     23:47:24:018515940,     216559
23:47:24:018516372,     23:47:24:018722226,     205854
23:47:24:018722661,     23:47:24:018937368,     214707
23:47:24:018937793,     23:47:24:019107426,     169633
23:47:24:019107627,     23:47:24:019268819,     161192
23:47:24:019268970,     23:47:24:019478166,     209196
23:47:24:019478594,     23:47:24:019685783,     207189
23:47:24:019686215,     23:47:24:019863140,     176925
23:47:24:019863326,     23:47:24:020067599,     204273
23:47:24:020068027,     23:47:24:020281382,     213355
23:47:24:020281792,     23:47:24:020457647,     175855
23:47:24:020457853,     23:47:24:020628796,     170943
23:47:24:020629021,     23:47:24:020821663,     192642
23:47:24:020822079,     23:47:24:021038409,     216330
23:47:24:021038840,     23:47:24:021254770,     215930
23:47:24:021255207,     23:47:24:021466760,     211553
23:47:24:021467188,     23:47:24:021685428,     218240
23:47:24:021685859,     23:47:24:021893982,     208123
23:47:24:021894409,     23:47:24:022096440,     202031
23:47:24:022096874,     23:47:24:022313659,     216785
23:47:24:022314091,     23:47:24:022519574,     205483
23:47:24:022520007,     23:47:24:022733132,     213125
23:47:24:022733538,     23:47:24:022934176,     200638
23:47:24:022934607,     23:47:24:023149296,     214689
23:47:24:023149732,     23:47:24:023366597,     216865
23:47:24:023367022,     23:47:24:023544440,     177418
23:47:24:023544635,     23:47:24:023715431,     170796
23:47:24:023715625,     23:47:24:023885798,     170173
23:47:24:023885961,     23:47:24:024085759,     199798
23:47:24:024086194,     23:47:24:024295076,     208882
23:47:24:024295488,     23:47:24:024500720,     205232
23:47:24:024501158,     23:47:24:024715633,     214475
23:47:24:024716059,     23:47:24:024931379,     215320
23:47:24:024931807,     23:47:24:025110232,     178425
23:47:24:025110439,     23:47:24:025272002,     161563
23:47:24:025272163,     23:47:24:025471275,     199112
23:47:24:025471701,     23:47:24:025641595,     169894
23:47:24:025641857,     23:47:24:025812395,     170538
23:47:24:025812564,     23:47:24:025983382,     170818
23:47:24:025983541,     23:47:24:026154120,     170579
23:47:24:026154238,     23:47:24:026324935,     170697
23:47:24:026325104,     23:47:24:026496542,     171438
23:47:24:026496703,     23:47:24:026668114,     171411
23:47:24:026668230,     23:47:24:026838127,     169897
