Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:00:16:300159171,00:00:16:300583717,424546
00:00:16:300585230,00:00:16:300876858,291628
00:00:16:300878957,00:00:16:301103830,224873
00:00:16:301104895,00:00:16:301314579,209684
00:00:16:301315408,00:00:16:301536182,220774
00:00:16:301537655,00:00:16:301771211,233556
00:00:16:301773053,00:00:16:302027420,254367
00:00:16:302029045,00:00:16:302263904,234859
00:00:16:302264811,00:00:16:302462176,197365
00:00:16:302463019,00:00:16:302755140,292121
00:00:16:302757291,00:00:16:302999378,242087
00:00:16:303000464,00:00:16:303241912,241448
00:00:16:303243230,00:00:16:303461731,218501
00:00:16:303462963,00:00:16:303742445,279482
00:00:16:303744568,00:00:16:303970827,226259
00:00:16:303971882,00:00:16:304188417,216535
00:00:16:304189339,00:00:16:304392637,203298
00:00:16:304393447,00:00:16:304605611,212164
00:00:16:304607080,00:00:16:304895018,287938
00:00:16:304896753,00:00:16:305131437,234684
00:00:16:305133006,00:00:16:305365592,232586
00:00:16:305367403,00:00:16:305582189,214786
00:00:16:305583827,00:00:16:305832529,248702
00:00:16:305834260,00:00:16:306078054,243794
00:00:16:306079685,00:00:16:306330308,250623
00:00:16:306331683,00:00:16:306554317,222634
00:00:16:306555839,00:00:16:306774141,218302
00:00:16:306775609,00:00:16:306997170,221561
00:00:16:306998778,00:00:16:307242906,244128
00:00:16:307244475,00:00:16:307477363,232888
00:00:16:307479216,00:00:16:307719227,240011
00:00:16:307720892,00:00:16:307981895,261003
00:00:16:307983576,00:00:16:308234223,250647
00:00:16:308235638,00:00:16:308460149,224511
00:00:16:308461081,00:00:16:308706075,244994
00:00:16:308709386,00:00:16:308969989,260603
00:00:16:308971874,00:00:16:309214636,242762
00:00:16:309215696,00:00:16:309427092,211396
00:00:16:309428142,00:00:16:309658803,230661
00:00:16:309660081,00:00:16:309887917,227836
00:00:16:309889686,00:00:16:310152794,263108
00:00:16:310156315,00:00:16:310425214,268899
00:00:16:310427195,00:00:16:310686636,259441
00:00:16:310688753,00:00:16:310926344,237591
00:00:16:310928557,00:00:16:311150990,222433
00:00:16:311153086,00:00:16:311386268,233182
00:00:16:311387732,00:00:16:311607561,219829
00:00:16:311609064,00:00:16:311973168,364104
